"Date","Windows","Android","iOS","OS X","Unknown","Linux","Series 40","SymbianOS","Samsung","BlackBerry OS","Chrome OS","Nokia Unknown","Playstation","Sony Ericsson","macOS","KaiOS","Xbox","bada","Tizen","LG","Nintendo","Other"
2009,93.79,0.02,0.35,4.23,0.26,0.68,0,0.36,0.01,0.08,0,0,0.14,0.04,0,0,0,0,0,0,0.02,0.02
2010,90.27,0.26,0.88,5.65,0.29,0.75,0,0.95,0.09,0.49,0,0,0.16,0.16,0,0,0,0,0,0,0.02,0.02
2011,85.98,1.22,2.1,6.19,0.4,0.74,0,1.93,0.32,0.71,0,0,0.15,0.18,0,0,0,0.02,0,0.01,0.02,0.02
2012,79.18,3.32,4.78,6.57,0.56,0.76,1.14,1.95,0.7,0.57,0.01,0,0.12,0.13,0,0,0,0.07,0,0.01,0.02,0.11
2013,71.99,7.66,7.36,6.07,0.77,1.09,2.18,1.11,0.77,0.61,0.03,0.02,0.1,0.09,0,0,0,0.05,0,0.04,0.02,0.04
2014,59.83,16.24,10.99,5.81,1.26,1.16,2.13,0.73,0.73,0.51,0.14,0.18,0.08,0.06,0,0,0.02,0.04,0,0.05,0.02,0.02
2015,52.25,24.27,10.85,5.52,2.12,1.19,1.38,0.41,0.37,0.43,0.22,0.72,0.08,0.04,0,0,0.03,0.02,0.01,0.04,0.01,0.03
2016,43.82,31.76,11.71,5.09,3.64,0.94,0.76,0.22,0.28,0.33,0.29,0.89,0.09,0.03,0,0,0.03,0.01,0.05,0.03,0.01,0.03
2017,37.07,38.97,13.18,5.24,2.72,0.76,0.33,0.11,0.19,0.16,0.34,0.56,0.1,0.01,0,0,0.06,0.01,0.11,0.03,0,0.05
2018,36.45,39.63,13.11,5.78,2.89,0.75,0.15,0.05,0.14,0.05,0.44,0.1,0.08,0.01,0,0.15,0.03,0,0.08,0.01,0,0.07
2019,35.9,39.04,13.94,6.54,2.48,0.8,0.05,0.02,0.11,0.02,0.56,0.05,0.06,0,0,0.35,0.04,0,0.03,0,0,0
2020,35.07,38.8,15.18,8.04,1.2,0.81,0.01,0,0.11,0.01,0.58,0.01,0.05,0,0,0.08,0.03,0,0.01,0,0,0
2021,31.62,40.71,16.52,6.78,2.16,0.94,0.01,0,0.21,0,0.87,0.01,0.05,0,0,0.08,0.03,0,0.01,0,0,0
2022,29.75,42.73,17.42,5.98,1.85,1.01,0.01,0,0.23,0,0.91,0.01,0.03,0,0,0.06,0,0,0,0,0,0
2023,29.21,39.56,17.01,8,2.88,1.3,0,0,0.21,0,1.47,0.01,0.02,0,0,0.07,0.25,0,0,0,0,0.01
2024,26.98,44.51,18.06,5.61,2.21,1.53,0,0,0.21,0,0.77,0,0.01,0,0,0.06,0.02,0,0,0,0,0
2025,27.54,43.63,16.67,4.28,4.1,1.47,0,0,0.14,0,0.6,0,0.01,0,1.53,0.01,0.02,0,0,0,0,0
2026,30.43,36.62,16.84,3.55,7.85,1.61,0,0,0.12,0,0.65,0,0.01,0,2.3,0.01,0.02,0,0,0,0,0
